date	team	site	o:team	line	total	points	o:points
20201222 	Lakers 	home 	Clippers 	-2.0 	222.0 	109 	116
20201222 	Clippers 	away 	Lakers 	2.0 	222.0 	116 	109
20201222 	Nets 	home 	Warriors 	-7.5 	229.0 	125 	99
20201222 	Warriors 	away 	Nets 	7.5 	229.0 	99 	125
20201223 	Bulls 	home 	Hawks 	2.0 	231.0 	104 	124
20201223 	Hawks 	away 	Bulls 	-2.0 	231.0 	124 	104
20201223 	Cavaliers 	home 	Hornets 	0.0 	216.5 	121 	114
20201223 	Hornets 	away 	Cavaliers 	0.0 	216.5 	114 	121
20201223 	Celtics 	home 	Bucks 	2.5 	225.5 	122 	121
20201223 	Bucks 	away 	Celtics 	-2.5 	225.5 	121 	122
20201223 	Grizzlies 	home 	Spurs 	-2.0 	231.5 	119 	131
20201223 	Spurs 	away 	Grizzlies 	2.0 	231.5 	131 	119
20201223 	Magic 	home 	Heat 	3.5 	219.0 	113 	107
20201223 	Heat 	away 	Magic 	-3.5 	219.0 	107 	113
20201223 	Nuggets 	home 	Kings 	-7.5 	226.0 	122 	124
20201223 	Kings 	away 	Nuggets 	7.5 	226.0 	124 	122
20201223 	Pacers 	home 	Knicks 	-8.5 	215.5 	121 	107
20201223 	Knicks 	away 	Pacers 	8.5 	215.5 	107 	121
20201223 	Raptors 	home 	Pelicans 	-3.5 	228.5 	99 	113
20201223 	Pelicans 	away 	Raptors 	3.5 	228.5 	113 	99
20201223 	Seventysixers 	home 	Wizards 	-7.0 	229.0 	113 	107
20201223 	Wizards 	away 	Seventysixers 	7.0 	229.0 	107 	113
20201223 	Suns 	home 	Mavericks 	-1.0 	233.5 	106 	102
20201223 	Mavericks 	away 	Suns 	1.0 	233.5 	102 	106
20201223 	Timberwolves 	home 	Pistons 	-5.5 	224.5 	111 	101
20201223 	Pistons 	away 	Timberwolves 	5.5 	224.5 	101 	111
20201223 	Trailblazers 	home 	Jazz 	2.0 	225.5 	100 	120
20201223 	Jazz 	away 	Trailblazers 	-2.0 	225.5 	120 	100
20201225 	Bucks 	home 	Warriors 	-10.5 	233.5 	138 	99
20201225 	Warriors 	away 	Bucks 	10.5 	233.5 	99 	138
20201225 	Celtics 	home 	Nets 	3.0 	227.0 	95 	123
20201225 	Nets 	away 	Celtics 	-3.0 	227.0 	123 	95
20201225 	Heat 	home 	Pelicans 	-5.0 	223.5 	111 	98
20201225 	Pelicans 	away 	Heat 	5.0 	223.5 	98 	111
20201225 	Lakers 	home 	Mavericks 	-6.5 	230.0 	138 	115
20201225 	Mavericks 	away 	Lakers 	6.5 	230.0 	115 	138
20201225 	Nuggets 	home 	Clippers 	3.0 	225.0 	108 	121
20201225 	Clippers 	away 	Nuggets 	-3.0 	225.0 	121 	108
20201226 	Bulls 	home 	Pacers 	5.5 	223.5 	106 	125
20201226 	Pacers 	away 	Bulls 	-5.5 	223.5 	125 	106
20201226 	Grizzlies 	home 	Hawks 	0.0 	237.0 	112 	122
20201226 	Hawks 	away 	Grizzlies 	0.0 	237.0 	122 	112
20201226 	Hornets 	home 	Thunder 	-2.0 	217.5 	107 	109
20201226 	Thunder 	away 	Hornets 	2.0 	217.5 	109 	107
20201226 	Jazz 	home 	Timberwolves 	-8.0 	229.0 	111 	116
20201226 	Timberwolves 	away 	Jazz 	8.0 	229.0 	116 	111
20201226 	Kings 	home 	Suns 	3.5 	227.0 	106 	103
20201226 	Suns 	away 	Kings 	-3.5 	227.0 	103 	106
20201226 	Knicks 	home 	Seventysixers 	8.5 	215.0 	89 	109
20201226 	Seventysixers 	away 	Knicks 	-8.5 	215.0 	109 	89
20201226 	Pistons 	home 	Cavaliers 	-1.0 	220.0 	119 	128
20201226 	Cavaliers 	away 	Pistons 	1.0 	220.0 	128 	119
20201226 	Spurs 	home 	Raptors 	1.0 	227.5 	119 	114
20201226 	Raptors 	away 	Spurs 	-1.0 	227.5 	114 	119
20201226 	Trailblazers 	home 	Rockets 	-7.5 	226.0 	128 	126
20201226 	Rockets 	away 	Trailblazers 	7.5 	226.0 	126 	128
20201226 	Wizards 	home 	Magic 	-1.0 	232.5 	120 	130
20201226 	Magic 	away 	Wizards 	1.0 	232.5 	130 	120
20201227 	Bulls 	home 	Warriors 	2.0 	228.5 	128 	129
20201227 	Warriors 	away 	Bulls 	-2.0 	228.5 	129 	128
20201227 	Cavaliers 	home 	Seventysixers 	6.0 	216.5 	118 	94
20201227 	Seventysixers 	away 	Cavaliers 	-6.0 	216.5 	94 	118
20201227 	Clippers 	home 	Mavericks 	-5.0 	228.5 	73 	124
20201227 	Mavericks 	away 	Clippers 	5.0 	228.5 	124 	73
20201227 	Hornets 	home 	Nets 	8.0 	226.0 	106 	104
20201227 	Nets 	away 	Hornets 	-8.0 	226.0 	104 	106
20201227 	Kings 	home 	Suns 	3.5 	224.5 	100 	116
20201227 	Suns 	away 	Kings 	-3.5 	224.5 	116 	100
20201227 	Knicks 	home 	Bucks 	11.0 	223.5 	130 	110
20201227 	Bucks 	away 	Knicks 	-11.0 	223.5 	110 	130
20201227 	Lakers 	home 	Timberwolves 	-11.0 	224.0 	127 	91
20201227 	Timberwolves 	away 	Lakers 	11.0 	224.0 	91 	127
20201227 	Pacers 	home 	Celtics 	1.0 	219.0 	108 	107
20201227 	Celtics 	away 	Pacers 	-1.0 	219.0 	107 	108
20201227 	Pelicans 	home 	Spurs 	-5.0 	227.5 	98 	95
20201227 	Spurs 	away 	Pelicans 	5.0 	227.5 	95 	98
20201227 	Wizards 	home 	Magic 	2.0 	230.5 	113 	120
20201227 	Magic 	away 	Wizards 	-2.0 	230.5 	120 	113
20201228 	Hawks 	home 	Pistons 	-8.5 	226.5 	128 	120
20201228 	Pistons 	away 	Hawks 	8.5 	226.5 	120 	128
20201228 	Lakers 	home 	Trailblazers 	-3.0 	224.5 	107 	115
20201228 	Trailblazers 	away 	Lakers 	3.0 	224.5 	115 	107
20201228 	Nets 	home 	Grizzlies 	2.5 	227.0 	111 	116
20201228 	Grizzlies 	away 	Nets 	-2.5 	227.0 	116 	111
20201228 	Nuggets 	home 	Rockets 	-8.0 	226.0 	124 	111
20201228 	Rockets 	away 	Nuggets 	8.0 	226.0 	111 	124
20201228 	Thunder 	home 	Jazz 	6.5 	219.0 	109 	110
20201228 	Jazz 	away 	Thunder 	-6.5 	219.0 	110 	109
20201229 	Cavaliers 	home 	Knicks 	-3.0 	214.5 	86 	95
20201229 	Knicks 	away 	Cavaliers 	3.0 	214.5 	95 	86
