date	team	site	o:team	line	total	points	o:points
20191022 	Clippers 	home 	Lakers 	1.5 	224.0 	112 	102
20191022 	Lakers 	away 	Clippers 	-1.5 	224.0 	102 	112
20191022 	Raptors 	home 	Pelicans 	-7.0 	231.5 	130 	122
20191022 	Pelicans 	away 	Raptors 	7.0 	231.5 	122 	130
20191023 	Heat 	home 	Grizzlies 	-8.0 	214.0 	120 	101
20191023 	Grizzlies 	away 	Heat 	8.0 	214.0 	101 	120
20191023 	Hornets 	home 	Bulls 	3.5 	219.0 	126 	125
20191023 	Bulls 	away 	Hornets 	-3.5 	219.0 	125 	126
20191023 	Jazz 	home 	Thunder 	-9.0 	221.5 	100 	95
20191023 	Thunder 	away 	Jazz 	9.0 	221.5 	95 	100
20191023 	Magic 	home 	Cavaliers 	-9.5 	211.5 	94 	85
20191023 	Cavaliers 	away 	Magic 	9.5 	211.5 	85 	94
20191023 	Mavericks 	home 	Wizards 	-8.5 	220.0 	108 	100
20191023 	Wizards 	away 	Mavericks 	8.5 	220.0 	100 	108
20191023 	Nets 	home 	Timberwolves 	-3.5 	230.0 	126 	127
20191023 	Timberwolves 	away 	Nets 	3.5 	230.0 	127 	126
20191023 	Pacers 	home 	Pistons 	-7.0 	211.0 	110 	119
20191023 	Pistons 	away 	Pacers 	7.0 	211.0 	119 	110
20191023 	Seventysixers 	home 	Celtics 	-6.0 	211.5 	107 	93
20191023 	Celtics 	away 	Seventysixers 	6.0 	211.5 	93 	107
20191023 	Spurs 	home 	Knicks 	-10.0 	214.5 	120 	111
20191023 	Knicks 	away 	Spurs 	10.0 	214.5 	111 	120
20191023 	Suns 	home 	Kings 	0.0 	232.5 	124 	95
20191023 	Kings 	away 	Suns 	0.0 	232.5 	95 	124
20191023 	Trailblazers 	home 	Nuggets 	1.0 	217.0 	100 	108
20191023 	Nuggets 	away 	Trailblazers 	-1.0 	217.0 	108 	100
20191024 	Pistons 	home 	Hawks 	-1.0 	221.5 	100 	117
20191024 	Hawks 	away 	Pistons 	1.0 	221.5 	117 	100
20191024 	Rockets 	home 	Bucks 	-1.5 	230.0 	111 	117
20191024 	Bucks 	away 	Rockets 	1.5 	230.0 	117 	111
20191024 	Warriors 	home 	Clippers 	2.0 	227.5 	122 	141
20191024 	Clippers 	away 	Warriors 	-2.0 	227.5 	141 	122
20191025 	Celtics 	home 	Raptors 	-3.0 	216.5 	112 	106
20191025 	Raptors 	away 	Celtics 	3.0 	216.5 	106 	112
20191025 	Grizzlies 	home 	Bulls 	2.0 	222.5 	102 	110
20191025 	Bulls 	away 	Grizzlies 	-2.0 	222.5 	110 	102
20191025 	Hornets 	home 	Timberwolves 	5.5 	226.5 	99 	121
20191025 	Timberwolves 	away 	Hornets 	-5.5 	226.5 	121 	99
20191025 	Kings 	home 	Trailblazers 	2.0 	227.5 	112 	122
20191025 	Trailblazers 	away 	Kings 	-2.0 	227.5 	122 	112
20191025 	Lakers 	home 	Jazz 	-3.5 	216.0 	95 	86
20191025 	Jazz 	away 	Lakers 	3.5 	216.0 	86 	95
20191025 	Nets 	home 	Knicks 	-8.0 	225.5 	113 	109
20191025 	Knicks 	away 	Nets 	8.0 	225.5 	109 	113
20191025 	Nuggets 	home 	Suns 	-11.0 	220.0 	108 	107
20191025 	Suns 	away 	Nuggets 	11.0 	220.0 	107 	108
20191025 	Pelicans 	home 	Mavericks 	-2.0 	228.0 	116 	123
20191025 	Mavericks 	away 	Pelicans 	2.0 	228.0 	123 	116
20191025 	Thunder 	home 	Wizards 	-8.0 	218.5 	85 	97
20191025 	Wizards 	away 	Thunder 	8.0 	218.5 	97 	85
20191026 	Bucks 	home 	Heat 	-10.5 	226.5 	126 	131
20191026 	Heat 	away 	Bucks 	10.5 	226.5 	131 	126
20191026 	Bulls 	home 	Raptors 	3.0 	219.5 	84 	108
20191026 	Raptors 	away 	Bulls 	-3.0 	219.5 	108 	84
20191026 	Cavaliers 	home 	Pacers 	5.0 	213.5 	110 	99
20191026 	Pacers 	away 	Cavaliers 	-5.0 	213.5 	99 	110
20191026 	Hawks 	home 	Magic 	2.5 	216.5 	103 	99
20191026 	Magic 	away 	Hawks 	-2.5 	216.5 	99 	103
20191026 	Jazz 	home 	Kings 	-9.5 	229.0 	113 	81
20191026 	Kings 	away 	Jazz 	9.5 	229.0 	81 	113
20191026 	Knicks 	home 	Celtics 	5.5 	214.0 	95 	118
20191026 	Celtics 	away 	Knicks 	-5.5 	214.0 	118 	95
20191026 	Pistons 	home 	Seventysixers 	5.0 	215.0 	111 	117
20191026 	Seventysixers 	away 	Pistons 	-5.0 	215.0 	117 	111
20191026 	Rockets 	home 	Pelicans 	-10.5 	239.0 	126 	123
20191026 	Pelicans 	away 	Rockets 	10.5 	239.0 	123 	126
20191026 	Spurs 	home 	Wizards 	-11.5 	220.0 	124 	122
20191026 	Wizards 	away 	Spurs 	11.5 	220.0 	122 	124
20191026 	Suns 	home 	Clippers 	10.0 	226.0 	130 	122
20191026 	Clippers 	away 	Suns 	-10.0 	226.0 	122 	130
20191027 	Grizzlies 	home 	Nets 	4.0 	224.0 	134 	133
20191027 	Nets 	away 	Grizzlies 	-4.0 	224.0 	133 	134
20191027 	Lakers 	home 	Hornets 	-13.0 	216.5 	120 	101
20191027 	Hornets 	away 	Lakers 	13.0 	216.5 	101 	120
20191027 	Mavericks 	home 	Trailblazers 	-1.5 	222.0 	119 	121
20191027 	Trailblazers 	away 	Mavericks 	1.5 	222.0 	121 	119
20191027 	Thunder 	home 	Warriors 	0.0 	223.0 	120 	92
20191027 	Warriors 	away 	Thunder 	0.0 	223.0 	92 	120
20191027 	Timberwolves 	home 	Heat 	-6.5 	224.5 	116 	109
20191027 	Heat 	away 	Timberwolves 	6.5 	224.5 	109 	116
20191028 	Bucks 	home 	Cavaliers 	-15.5 	224.0 	129 	112
20191028 	Cavaliers 	away 	Bucks 	15.5 	224.0 	112 	129
20191028 	Clippers 	home 	Hornets 	-15.5 	225.5 	111 	96
20191028 	Hornets 	away 	Clippers 	15.5 	225.5 	96 	111
20191028 	Hawks 	home 	Seventysixers 	4.5 	221.0 	103 	105
20191028 	Seventysixers 	away 	Hawks 	-4.5 	221.0 	105 	103
20191028 	Kings 	home 	Nuggets 	6.0 	217.5 	94 	101
20191028 	Nuggets 	away 	Kings 	-6.0 	217.5 	101 	94
20191028 	Knicks 	home 	Bulls 	1.0 	222.0 	105 	98
20191028 	Bulls 	away 	Knicks 	-1.0 	222.0 	98 	105
20191028 	Pelicans 	home 	Warriors 	-3.5 	237.0 	123 	134
20191028 	Warriors 	away 	Pelicans 	3.5 	237.0 	134 	123
20191028 	Pistons 	home 	Pacers 	1.0 	212.5 	96 	94
20191028 	Pacers 	away 	Pistons 	-1.0 	212.5 	94 	96
20191028 	Raptors 	home 	Magic 	-5.0 	209.0 	104 	95
20191028 	Magic 	away 	Raptors 	5.0 	209.0 	95 	104
20191028 	Rockets 	home 	Thunder 	-10.0 	227.5 	116 	112
20191028 	Thunder 	away 	Rockets 	10.0 	227.5 	112 	116
20191028 	Spurs 	home 	Trailblazers 	-4.5 	222.5 	113 	110
20191028 	Trailblazers 	away 	Spurs 	4.5 	222.5 	110 	113
20191028 	Suns 	home 	Jazz 	4.5 	213.5 	95 	96
20191028 	Jazz 	away 	Suns 	-4.5 	213.5 	96 	95
