date	team	site	o:team	line	total	points	o:points
20171017 	Cavaliers 	home 	Celtics 	-3.5 	212.5 	102 	99
20171017 	Celtics 	away 	Cavaliers 	3.5 	212.5 	99 	102
20171017 	Warriors 	home 	Rockets 	-9.0 	228.5 	121 	122
20171017 	Rockets 	away 	Warriors 	9.0 	228.5 	122 	121
20171018 	Celtics 	home 	Bucks 	-2.0 	206.0 	100 	108
20171018 	Bucks 	away 	Celtics 	2.0 	206.0 	108 	100
20171018 	Grizzlies 	home 	Pelicans 	-2.5 	205.0 	103 	91
20171018 	Pelicans 	away 	Grizzlies 	2.5 	205.0 	91 	103
20171018 	Jazz 	home 	Nuggets 	-2.5 	205.5 	106 	96
20171018 	Nuggets 	away 	Jazz 	2.5 	205.5 	96 	106
20171018 	Kings 	home 	Rockets 	7.0 	217.5 	100 	105
20171018 	Rockets 	away 	Kings 	-7.0 	217.5 	105 	100
20171018 	Magic 	home 	Heat 	3.5 	205.5 	116 	109
20171018 	Heat 	away 	Magic 	-3.5 	205.5 	109 	116
20171018 	Mavericks 	home 	Hawks 	-5.5 	198.5 	111 	117
20171018 	Hawks 	away 	Mavericks 	5.5 	198.5 	117 	111
20171018 	Pacers 	home 	Nets 	-3.5 	217.0 	140 	131
20171018 	Nets 	away 	Pacers 	3.5 	217.0 	131 	140
20171018 	Pistons 	home 	Hornets 	-3.0 	202.5 	102 	90
20171018 	Hornets 	away 	Pistons 	3.0 	202.5 	90 	102
20171018 	Spurs 	home 	Timberwolves 	-1.5 	205.0 	107 	99
20171018 	Timberwolves 	away 	Spurs 	1.5 	205.0 	99 	107
20171018 	Suns 	home 	Trailblazers 	2.5 	218.5 	76 	124
20171018 	Trailblazers 	away 	Suns 	-2.5 	218.5 	124 	76
20171018 	Wizards 	home 	Seventysixers 	-6.5 	217.5 	120 	115
20171018 	Seventysixers 	away 	Wizards 	6.5 	217.5 	115 	120
20171019 	Lakers 	home 	Clippers 	6.5 	217.5 	92 	108
20171019 	Clippers 	away 	Lakers 	-6.5 	217.5 	108 	92
20171019 	Raptors 	home 	Bulls 	-13.5 	208.0 	117 	100
20171019 	Bulls 	away 	Raptors 	13.5 	208.0 	100 	117
20171019 	Thunder 	home 	Knicks 	-12.5 	213.5 	105 	84
20171019 	Knicks 	away 	Thunder 	12.5 	213.5 	84 	105
20171020 	Bucks 	home 	Cavaliers 	1.5 	209.5 	97 	116
20171020 	Cavaliers 	away 	Bucks 	-1.5 	209.5 	116 	97
20171020 	Hornets 	home 	Hawks 	-5.5 	203.5 	109 	91
20171020 	Hawks 	away 	Hornets 	5.5 	203.5 	91 	109
20171020 	Mavericks 	home 	Kings 	-5.5 	202.5 	88 	93
20171020 	Kings 	away 	Mavericks 	5.5 	202.5 	93 	88
20171020 	Nets 	home 	Magic 	-2.0 	226.0 	126 	121
20171020 	Magic 	away 	Nets 	2.0 	226.0 	121 	126
20171020 	Pacers 	home 	Trailblazers 	6.0 	220.5 	96 	114
20171020 	Trailblazers 	away 	Pacers 	-6.0 	220.5 	114 	96
20171020 	Pelicans 	home 	Warriors 	8.5 	222.0 	120 	128
20171020 	Warriors 	away 	Pelicans 	-8.5 	222.0 	128 	120
20171020 	Seventysixers 	home 	Celtics 	-2.0 	216.5 	92 	102
20171020 	Celtics 	away 	Seventysixers 	2.0 	216.5 	102 	92
20171020 	Suns 	home 	Lakers 	-3.0 	220.0 	130 	132
20171020 	Lakers 	away 	Suns 	3.0 	220.0 	132 	130
20171020 	Timberwolves 	home 	Jazz 	-4.5 	197.5 	100 	97
20171020 	Jazz 	away 	Timberwolves 	4.5 	197.5 	97 	100
20171020 	Wizards 	home 	Pistons 	-6.0 	211.5 	115 	111
20171020 	Pistons 	away 	Wizards 	6.0 	211.5 	111 	115
20171021 	Bucks 	home 	Trailblazers 	-3.5 	213.0 	113 	110
20171021 	Trailblazers 	away 	Bucks 	3.5 	213.0 	110 	113
20171021 	Bulls 	home 	Spurs 	10.0 	200.0 	77 	87
20171021 	Spurs 	away 	Bulls 	-10.0 	200.0 	87 	77
20171021 	Cavaliers 	home 	Magic 	-11.5 	214.5 	93 	114
20171021 	Magic 	away 	Cavaliers 	11.5 	214.5 	114 	93
20171021 	Clippers 	home 	Suns 	-13.5 	220.5 	130 	88
20171021 	Suns 	away 	Clippers 	13.5 	220.5 	88 	130
20171021 	Grizzlies 	home 	Warriors 	7.5 	212.5 	111 	101
20171021 	Warriors 	away 	Grizzlies 	-7.5 	212.5 	101 	111
20171021 	Heat 	home 	Pacers 	-9.0 	213.5 	112 	108
20171021 	Pacers 	away 	Heat 	9.0 	213.5 	108 	112
20171021 	Jazz 	home 	Thunder 	4.0 	200.0 	96 	87
20171021 	Thunder 	away 	Jazz 	-4.0 	200.0 	87 	96
20171021 	Knicks 	home 	Pistons 	2.0 	206.0 	107 	111
20171021 	Pistons 	away 	Knicks 	-2.0 	206.0 	111 	107
20171021 	Nuggets 	home 	Kings 	-12.0 	212.0 	96 	79
20171021 	Kings 	away 	Nuggets 	12.0 	212.0 	79 	96
20171021 	Raptors 	home 	Seventysixers 	-9.5 	218.0 	128 	94
20171021 	Seventysixers 	away 	Raptors 	9.5 	218.0 	94 	128
20171021 	Rockets 	home 	Mavericks 	-12.5 	214.5 	107 	91
20171021 	Mavericks 	away 	Rockets 	12.5 	214.5 	91 	107
20171022 	Lakers 	home 	Pelicans 	5.0 	222.0 	112 	119
20171022 	Pelicans 	away 	Lakers 	-5.0 	222.0 	119 	112
20171022 	Nets 	home 	Hawks 	-2.5 	221.0 	116 	104
20171022 	Hawks 	away 	Nets 	2.5 	221.0 	104 	116
20171022 	Thunder 	home 	Timberwolves 	-4.0 	211.5 	113 	115
20171022 	Timberwolves 	away 	Thunder 	4.0 	211.5 	115 	113
20171023 	Bucks 	home 	Hornets 	-7.0 	201.0 	103 	94
20171023 	Hornets 	away 	Bucks 	7.0 	201.0 	94 	103
